location_id,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature,apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),daylight_duration (s),sunshine_duration (s),precipitation,rainfall,precipitation_hours (h),wind_speed,wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),latitude,longitude,elevation,year,month,day,sunrise_hour,sunset_hour,daylight_hours,date,day_of_week,temperature_lag1,temperature_lag2,rainfall_lag1,rainfall_lag2,wind_speed_lag1,wind_speed_lag2,precipitation_lag1,precipitation_lag2
0,2,32.6,24.1,28.0,38.0,29.0,32.7,43161.09,40563.73,0.0,0.0,0,13.0,28.4,272,24.36,5.31,6.924429,79.90725,4,2010,1,3,6,18,12,2010-01-03,6,26.4,26.0,15.7,0.0,11.6,12.2,15.7,0.0
0,61,31.0,25.0,27.5,37.7,30.5,33.4,43867.57,39600.0,7.4,7.4,13,13.6,30.2,230,20.47,4.18,6.924429,79.90725,4,2010,1,4,6,18,12,2010-01-04,0,28.0,26.4,0.0,15.7,13.0,11.6,0.0,15.7
0,61,31.1,25.1,27.7,37.5,30.8,33.8,44517.18,40574.88,9.6,9.6,14,10.3,24.5,246,20.93,4.32,6.924429,79.90725,4,2010,1,5,5,18,13,2010-01-05,1,27.5,28.0,7.4,0.0,13.6,13.0,7.4,0.0
0,51,30.2,26.1,28.1,37.0,32.1,34.0,44987.79,39781.38,4.1,4.1,20,15.0,33.1,256,19.13,3.82,6.924429,79.90725,4,2010,1,6,5,18,13,2010-01-06,2,27.7,27.5,9.6,7.4,10.3,13.6,9.6,7.4
0,63,28.1,24.5,26.0,32.5,28.1,30.1,45064.31,27218.75,16.3,16.3,16,20.5,47.9,245,13.92,2.71,6.924429,79.90725,4,2010,1,7,5,18,13,2010-01-07,3,28.1,27.7,4.1,9.6,15.0,10.3,4.1,9.6
0,51,28.7,25.0,26.6,33.9,30.3,31.5,44711.66,40731.63,0.2,0.2,1,18.5,45.0,272,21.69,4.07,6.924429,79.90725,4,2010,1,8,6,18,12,2010-01-08,4,26.0,28.1,16.3,4.1,20.5,15.0,16.3,4.1
0,2,28.6,23.6,26.0,33.7,28.7,30.8,44093.91,40554.58,0.0,0.0,0,15.6,33.5,279,21.82,4.17,6.924429,79.90725,4,2010,1,9,6,18,12,2010-01-09,5,26.6,26.0,0.2,16.3,18.5,20.5,0.2,16.3
0,63,29.3,24.0,25.8,36.4,29.1,31.1,43418.96,27300.44,19.5,19.5,21,12.3,28.1,278,14.35,2.92,6.924429,79.90725,4,2010,1,10,5,18,13,2010-01-10,6,26.0,26.6,0.0,0.2,15.6,18.5,0.0,0.2
0,53,29.0,24.0,26.1,36.4,28.9,31.3,42757.56,31144.35,4.5,4.5,16,14.2,29.2,240,15.57,3.17,6.924429,79.90725,4,2010,1,11,5,17,12,2010-01-11,0,25.8,26.0,19.5,0.0,12.3,15.6,19.5,0.0
0,63,27.0,23.8,24.9,32.6,28.6,30.2,42299.3,3652.93,43.7,43.7,24,6.6,19.1,142,7.95,1.66,6.924429,79.90725,4,2010,1,12,6,17,11,2010-01-12,1,26.1,25.8,4.5,19.5,14.2,12.3,4.5,19.5
0,63,30.0,23.6,26.0,36.7,28.5,31.3,42318.27,34054.76,4.8,4.8,10,7.6,24.1,147,18.41,3.73,6.924429,79.90725,4,2010,1,13,6,18,12,2010-01-13,2,24.9,26.1,43.7,4.5,6.6,14.2,43.7,4.5
0,63,30.1,23.1,26.3,37.4,27.7,31.8,42329.6,38620.04,5.7,5.7,4,10.2,26.6,137,19.46,3.91,6.924429,79.90725,4,2010,1,14,6,18,12,2010-01-14,3,26.0,24.9,4.8,43.7,7.6,6.6,4.8,43.7
0,1,30.7,23.0,26.4,34.8,26.1,30.0,42341.34,38875.66,0.0,0.0,0,11.9,24.8,26,21.05,4.56,6.924429,79.90725,4,2010,1,15,6,18,12,2010-01-15,4,26.3,26.0,5.7,4.8,10.2,7.6,5.7,4.8
0,53,31.1,23.5,26.5,36.3,26.0,30.4,42353.48,38483.75,3.3,3.3,4,12.4,28.1,28,19.46,4.24,6.924429,79.90725,4,2010,1,16,6,18,12,2010-01-16,5,26.4,26.3,0.0,5.7,11.9,10.2,0.0,5.7
0,61,29.8,24.2,26.5,33.8,27.7,30.2,42366.02,38470.73,2.7,2.7,4,14.2,32.0,18,16.88,3.66,6.924429,79.90725,4,2010,1,17,6,18,12,2010-01-17,6,26.5,26.4,3.3,0.0,12.4,11.9,3.3,0.0
0,61,29.5,23.9,26.2,34.1,27.3,30.2,42378.91,36174.92,4.5,4.5,5,10.2,24.1,21,15.79,3.42,6.924429,79.90725,4,2010,1,18,6,18,12,2010-01-18,0,26.5,26.5,2.7,3.3,14.2,12.4,2.7,3.3
0,63,31.0,23.8,26.8,37.1,27.2,31.1,42392.15,38447.34,4.9,4.9,5,9.8,25.9,40,19.4,4.16,6.924429,79.90725,4,2010,1,19,6,18,12,2010-01-19,1,26.2,26.5,4.5,2.7,10.2,14.2,4.5,2.7
