iter	MultiRMSE
0	15.99601761
1	15.41840426
2	14.88875362
3	14.39605273
4	13.92014879
5	13.47413553
6	13.05427237
7	12.65834921
8	12.27992003
9	11.93703865
10	11.60639415
11	11.29958105
12	11.01177526
13	10.73646627
14	10.47712248
15	10.23864542
16	10.01524705
17	9.802169287
18	9.601011261
19	9.41411598
20	9.237873434
21	9.070932826
22	8.92068097
23	8.776042228
24	8.640406111
25	8.513965756
26	8.399827387
27	8.29020882
28	8.187248282
29	8.098783901
30	8.002127967
31	7.920550205
32	7.837812909
33	7.767474
34	7.695867175
35	7.627003671
36	7.566466939
37	7.507289213
38	7.450700967
39	7.395813316
40	7.34235961
41	7.295557945
42	7.247704368
43	7.208418737
44	7.165914835
45	7.124353822
46	7.086060663
47	7.050520664
48	7.0172537
49	6.988109478
50	6.961402348
51	6.933269287
52	6.909358077
53	6.883637111
54	6.862509366
55	6.834964164
56	6.818066046
57	6.797120403
58	6.778378326
59	6.7589744
60	6.739381037
61	6.723933549
62	6.704982895
63	6.69301241
64	6.677360929
65	6.659150412
66	6.641278497
67	6.631628265
68	6.619678866
69	6.606722134
70	6.592905591
71	6.577690569
72	6.567619217
73	6.547833151
74	6.535175986
75	6.52688769
76	6.516267285
77	6.508793332
78	6.498417739
79	6.490498577
80	6.48144968
81	6.468417968
82	6.45745624
83	6.448889741
84	6.440481679
85	6.434585291
86	6.429607617
87	6.42166804
88	6.41218006
89	6.404147656
90	6.386034582
91	6.376598762
92	6.370215705
93	6.36456702
94	6.354412503
95	6.347558843
96	6.341008766
97	6.332349425
98	6.327992501
99	6.322265966
100	6.315084684
101	6.30570909
102	6.299822361
103	6.295512674
104	6.290636248
105	6.286698469
106	6.278682116
107	6.274906031
108	6.266892639
109	6.254969859
110	6.251041778
111	6.246993559
112	6.243407173
113	6.23744664
114	6.228362852
115	6.217727256
116	6.211426766
117	6.208653226
118	6.202504279
119	6.195632933
120	6.187334555
121	6.179319514
122	6.171171553
123	6.166974506
124	6.15535229
125	6.149917295
126	6.14269714
127	6.139991471
128	6.131777006
129	6.129442654
130	6.12633629
131	6.121168431
132	6.115740581
133	6.104606906
134	6.097240428
135	6.094592668
136	6.092916441
137	6.086763084
138	6.084478116
139	6.075135473
140	6.066815568
141	6.063009606
142	6.055800354
143	6.046806206
144	6.040142369
145	6.036960924
146	6.02981268
147	6.024303309
148	6.016518957
149	6.013633718
150	6.009937379
151	6.007343643
152	6.002342981
153	5.998248479
154	5.994373577
155	5.989278858
156	5.982636638
157	5.979039613
158	5.972707218
159	5.969117724
160	5.966162677
161	5.961559259
162	5.955471379
163	5.950027534
164	5.945768051
165	5.93927331
166	5.938430197
167	5.930996222
168	5.926797995
169	5.92448838
170	5.915541772
171	5.911455628
172	5.901103502
173	5.896828298
174	5.890362792
175	5.885156327
176	5.881484642
177	5.874370202
178	5.872629326
179	5.870124417
180	5.865193378
181	5.862941684
182	5.85856563
183	5.851182685
184	5.844833714
185	5.839264042
186	5.835160597
187	5.832372485
188	5.828824587
189	5.822634173
190	5.818529884
191	5.816525675
192	5.811668197
193	5.803379956
194	5.80108138
195	5.799204399
196	5.794943312
197	5.786757283
198	5.781153748
199	5.777826258
200	5.769472987
201	5.766305899
202	5.755651084
203	5.750235596
204	5.747715103
205	5.742395125
206	5.737706801
207	5.733935663
208	5.728931688
209	5.724852119
210	5.719931949
211	5.715147959
212	5.709298857
213	5.706137687
214	5.701715558
215	5.69572059
216	5.690252633
217	5.687302329
218	5.681906277
219	5.672674936
220	5.667336409
221	5.661459119
222	5.65689997
223	5.653390237
224	5.651816554
225	5.649896964
226	5.645247083
227	5.642230983
228	5.640373912
229	5.637397241
230	5.63175513
231	5.627302508
232	5.623484163
233	5.621235674
234	5.611949572
235	5.607356889
236	5.603988704
237	5.597877114
238	5.595376399
239	5.589596139
240	5.58558976
241	5.583525322
242	5.580728587
243	5.577194878
244	5.574564877
245	5.571496447
246	5.567978206
247	5.564930662
248	5.562999214
249	5.560887599
250	5.553346534
251	5.549912345
252	5.548745309
253	5.546272437
254	5.541818483
255	5.538882151
256	5.532764882
257	5.527087192
258	5.524999688
259	5.520006739
260	5.516649073
261	5.514447586
262	5.506801519
263	5.502962027
264	5.499144109
265	5.493348666
266	5.491284614
267	5.487116425
268	5.481083833
269	5.478095995
270	5.474465963
271	5.470541839
272	5.466478923
273	5.463185311
274	5.46040569
275	5.458336853
276	5.45372557
277	5.451458667
278	5.449152077
279	5.446786829
280	5.445045555
281	5.443505448
282	5.441754212
283	5.437714014
284	5.432055056
285	5.427503635
286	5.422798157
287	5.419416173
288	5.417172623
289	5.413247205
290	5.40611847
291	5.404898507
292	5.40059997
293	5.396873918
294	5.391933847
295	5.39047077
296	5.387946828
297	5.382363395
298	5.379036452
299	5.375795054
300	5.373671796
301	5.367299699
302	5.362383813
303	5.360138684
304	5.356157684
305	5.354044351
306	5.34900991
307	5.346075784
308	5.343720166
309	5.338804008
310	5.336073076
311	5.332828873
312	5.328788005
313	5.32630029
314	5.325241488
315	5.321659202
316	5.319138889
317	5.316048646
318	5.314103113
319	5.310028885
320	5.30679612
321	5.304886222
322	5.299836194
323	5.29502603
324	5.292833519
325	5.288960521
326	5.287445441
327	5.284054445
328	5.282243304
329	5.27841972
330	5.274420094
331	5.270966414
332	5.269121129
333	5.266284428
334	5.265139814
335	5.262303114
336	5.257150274
337	5.254790538
338	5.251596245
339	5.246310615
340	5.243650671
341	5.2416721
342	5.239353333
343	5.236114615
344	5.232649181
345	5.222804787
346	5.219380578
347	5.217244688
348	5.215471068
349	5.211911726
350	5.209648976
351	5.208148252
352	5.20444453
353	5.202577013
354	5.197921535
355	5.194756732
356	5.187378953
357	5.182328513
358	5.179404137
359	5.177372199
360	5.174863655
361	5.172735104
362	5.168848393
363	5.16697741
364	5.160591445
365	5.159678433
366	5.15782308
367	5.155809776
368	5.153645072
369	5.150809431
370	5.147672429
371	5.14215899
372	5.139664948
373	5.137940955
374	5.132216221
375	5.127753614
376	5.12633518
377	5.121838406
378	5.120135407
379	5.11836216
380	5.115691262
381	5.112874694
382	5.109657537
383	5.105388715
384	5.101424267
385	5.098980781
386	5.095851202
387	5.093398573
388	5.09146842
389	5.089619281
390	5.087890081
391	5.08435303
392	5.08193737
393	5.080502464
394	5.078515648
395	5.076444975
396	5.07452139
397	5.069314187
398	5.066474796
399	5.065051994
400	5.062525253
401	5.0600109
402	5.054230337
403	5.05271468
404	5.050191404
405	5.046259292
406	5.042813957
407	5.040867009
408	5.039670434
409	5.037683472
410	5.034830548
411	5.032904134
412	5.029698119
413	5.025804859
414	5.023712188
415	5.018467532
416	5.016785878
417	5.014040727
418	5.01064286
419	5.006850945
420	5.001919684
421	4.998171437
422	4.996420094
423	4.994706798
424	4.992234025
425	4.98766363
426	4.984162065
427	4.981404058
428	4.980335859
429	4.975721892
430	4.974429978
431	4.973161998
432	4.969565567
433	4.968028782
434	4.96614051
435	4.963686605
436	4.960654032
437	4.955688128
438	4.954410953
439	4.951458615
440	4.948127004
441	4.944188531
442	4.941296308
443	4.940030498
444	4.937617042
445	4.936267161
446	4.93503627
447	4.933181627
448	4.931469111
449	4.929464581
450	4.926512819
451	4.922627937
452	4.919851474
453	4.916465415
454	4.912672755
455	4.909939126
456	4.907110394
457	4.905472367
458	4.903969965
459	4.902772875
460	4.900258393
461	4.897189111
462	4.894531913
463	4.892018862
