iter	Passed	Remaining
0	442	442176
1	740	369512
2	1065	353955
3	1423	354546
4	1826	363462
5	2218	367515
6	2560	363291
7	2933	363783
8	3378	371967
9	3766	372928
10	4186	376399
11	4536	373497
12	4893	371557
13	5221	367749
14	5517	362291
15	5825	358261
16	6132	354620
17	6461	352519
18	6782	350190
19	7107	348275
20	7432	346503
21	7772	345512
22	8097	343967
23	8496	345529
24	8827	344266
25	9137	342297
26	9464	341084
27	9775	339341
28	10084	337669
29	10386	335827
30	10720	335103
31	11083	335275
32	11401	334102
33	11728	333238
34	12072	332860
35	12410	332329
36	12733	331415
37	13052	330439
38	13399	330171
39	13741	329797
40	14065	329003
41	14377	327943
42	14708	327358
43	15054	327089
44	15441	327695
45	15824	328187
46	16174	327968
47	16513	327513
48	16860	327223
49	17187	326559
50	17494	325538
51	17816	324806
52	18173	324731
53	18505	324186
54	18837	323663
55	19155	322899
56	19460	321949
57	19802	321620
58	20123	320946
59	20467	320660
60	20799	320172
61	21136	319777
62	21446	318980
63	21762	318272
64	22075	317549
65	22380	316713
66	22704	316168
67	23052	315953
68	23355	315124
69	23674	314536
70	23974	313700
71	24284	313005
72	24580	312142
73	24878	311320
74	25251	311430
75	25568	310860
76	25930	310824
77	26260	310414
78	26563	309681
79	26888	309217
80	27193	308523
81	27547	308400
82	27876	307982
83	28227	307819
84	28598	307850
85	28928	307447
86	29250	306959
87	29586	306620
88	30005	307135
89	30340	306781
90	30670	306365
91	31066	306616
92	31425	306481
93	31771	306219
94	32120	305986
95	32543	306450
96	32964	306875
97	33303	306532
98	33635	306116
99	34000	306006
100	34339	305655
101	34929	307514
102	35578	309845
103	36230	312141
104	36887	314418
105	37559	316776
106	38200	318817
107	38847	320855
108	39470	322646
109	40083	324312
110	40718	326113
111	41364	327958
112	41999	329679
113	42646	331446
114	43254	332869
115	43870	334320
116	44574	336405
117	45181	337709
118	45903	339840
119	46551	341379
120	47222	343044
121	47840	344291
122	48481	345679
123	49182	347448
124	49872	349109
125	50489	350223
126	51129	351465
127	51757	352595
128	52354	353497
129	52966	354467
130	53587	355477
131	54242	356682
132	54863	357645
133	55511	358753
134	56116	359563
135	56746	360508
136	57375	361421
137	58019	362412
138	58659	363348
139	59287	364196
140	59931	365117
141	60643	366422
142	61322	367507
143	61942	368211
144	62630	369304
145	63274	370111
146	63917	370896
147	64562	371668
148	65299	372954
149	65991	373953
150	66654	374768
151	67321	375582
152	67951	376178
153	68590	376800
154	69218	377353
155	69966	378537
156	70602	379097
157	71323	380090
158	72062	381162
159	72726	381816
160	73350	382244
161	73982	382699
162	74695	383558
163	75519	384964
164	76209	385668
165	76889	386300
166	77600	387073
167	78241	387479
168	78916	388045
169	79549	388386
170	80058	388118
171	80345	386778
172	80630	385441
173	80948	384273
174	81295	383252
175	81637	382210
