learning_rate,depth,l2_leaf_reg,iterations,avg_r2
0.01,4,1,1000,0.840912979920476
0.01,4,3,1000,0.8399738795329557
0.01,4,5,1000,0.8399025955128268
0.01,6,1,1000,0.8510770457555612
0.01,6,3,1000,0.8498682872262455
0.01,6,5,1000,0.8500879575586873
0.01,8,1,1000,0.8559804806203913
0.01,8,3,1000,0.8532374840705053
0.01,8,5,1000,0.8513842389400049
0.05,4,1,1000,0.8539663637690208
0.05,4,3,1000,0.8565815693027735
0.05,4,5,1000,0.8568272515336381
0.05,6,1,1000,0.8586802142051103
0.05,6,3,1000,0.8585978992687514
0.05,6,5,1000,0.8522831387381085
0.05,8,1,1000,0.8599257301417759
0.05,8,3,1000,0.8549822490920078
0.05,8,5,1000,0.8554487691269691
0.1,4,1,1000,0.8530228251348143
0.1,4,3,1000,0.8482804526158094
0.1,4,5,1000,0.8526241131547103
0.1,6,1,1000,0.8580755995844043
0.1,6,3,1000,0.856560265121612
0.1,6,5,1000,0.8596770237160773
0.1,8,1,1000,0.8610984744671424
0.1,8,3,1000,0.8567516236877435
0.1,8,5,1000,0.856592197546886
