index,count,mean,std,min,25%,50%,75%,max,missing_values,location
temperature,5273.0,26.613256210885645,0.9604037971089793,21.4,26.0,26.6,27.2,30.1,0,0
rainfall,5273.0,7.623193627915798,10.737866899433248,0.0,1.1,3.9,10.2,195.9,0,0
wind_speed,5273.0,15.790233263796699,4.590750064613037,4.5,12.4,15.5,18.9,38.6,0,0
precipitation,5273.0,7.623193627915798,10.737866899433248,0.0,1.1,3.9,10.2,195.9,0,0
temperature,5273.0,26.45006637587711,1.0082815724195362,21.2,25.8,26.4,27.0,30.2,0,1
rainfall,5273.0,7.572482457803906,10.565643290136828,0.0,1.1,3.8,10.4,231.4,0,1
wind_speed,5273.0,14.743978759719324,4.034799104968509,4.0,11.8,14.9,17.7,28.7,0,1
precipitation,5273.0,7.572482457803906,10.565643290136828,0.0,1.1,3.8,10.4,231.4,0,1
temperature,5273.0,26.470225677982175,0.8730349092982562,21.6,25.9,26.4,27.0,29.5,0,2
rainfall,5273.0,7.5100512042480565,10.374377390373533,0.0,1.2,3.9,10.2,195.9,0,2
wind_speed,5273.0,14.997288071306656,4.353596162765714,4.5,11.8,14.6,18.0,35.0,0,2
precipitation,5273.0,7.5100512042480565,10.374377390373533,0.0,1.2,3.9,10.2,195.9,0,2
temperature,5273.0,23.831082875023707,1.185433811989057,18.3,23.1,23.8,24.5,28.6,0,3
rainfall,5273.0,5.6614830267399965,11.34702259185478,0.0,0.4,2.1,5.6,206.2,0,3
wind_speed,5273.0,14.208837473923762,5.1269144648378795,3.1,9.9,14.3,18.1,29.1,0,3
precipitation,5273.0,5.6614830267399965,11.34702259185478,0.0,0.4,2.1,5.6,206.2,0,3
temperature,5273.0,24.84944054617865,1.2680518113863677,19.8,24.0,24.8,25.7,29.1,0,4
rainfall,5273.0,6.01881282002655,12.215365812938325,0.0,0.4,2.2,6.3,233.3,0,4
wind_speed,5273.0,15.012307984069789,5.188690558698701,3.3,10.8,15.0,19.3,29.0,0,4
precipitation,5273.0,6.01881282002655,12.215365812938325,0.0,0.4,2.2,6.3,233.3,0,4
temperature,5273.0,16.65657121183387,1.343334497994973,12.1,15.6,16.7,17.7,21.0,0,5
rainfall,5273.0,7.0045325241797824,11.298077522491365,0.0,0.8,3.1,8.5,163.2,0,5
wind_speed,5273.0,11.830836336051583,5.910258725002143,2.3,7.2,10.2,15.7,37.8,0,5
precipitation,5273.0,7.0045325241797824,11.298077522491365,0.0,0.8,3.1,8.5,163.2,0,5
temperature,5273.0,26.494443390859097,0.8216100619874743,23.2,25.9,26.4,27.1,29.1,0,6
rainfall,5273.0,7.084487009292623,9.585714378764076,0.0,1.4,4.1,9.2,200.0,0,6
wind_speed,5273.0,17.349914659586574,6.257299871420541,4.5,12.1,16.6,22.4,40.8,0,6
precipitation,5273.0,7.084487009292623,9.585714378764076,0.0,1.4,4.1,9.2,200.0,0,6
temperature,5273.0,26.63809975346103,0.8105801421391743,23.3,26.1,26.6,27.2,29.7,0,7
rainfall,5273.0,5.505973828939882,7.956389595737704,0.0,0.7,2.9,7.3,123.5,0,7
wind_speed,5273.0,21.07987862696757,7.719439170573164,4.5,14.8,21.3,26.8,49.3,0,7
precipitation,5273.0,5.505973828939882,7.956389595737704,0.0,0.7,2.9,7.3,123.5,0,7
temperature,5273.0,27.330457045325243,1.0966745670165625,23.1,26.5,27.4,28.2,30.2,0,8
rainfall,5273.0,3.232353498956951,7.4554150317302,0.0,0.0,0.9,3.2,120.2,0,8
wind_speed,5273.0,21.284240470320498,7.087379521328077,5.4,15.1,21.9,27.3,40.0,0,8
precipitation,5273.0,3.232353498956951,7.4554150317302,0.0,0.0,0.9,3.2,120.2,0,8
temperature,5273.0,27.718926607244452,1.535991516960279,22.7,26.4,28.0,28.9,32.3,0,9
rainfall,5273.0,3.40540489285037,8.795274544734362,0.0,0.0,0.4,2.7,160.1,0,9
wind_speed,5273.0,24.773070358429734,7.741666379344798,6.5,18.7,24.0,30.7,48.0,0,9
precipitation,5273.0,3.40540489285037,8.795274544734362,0.0,0.0,0.4,2.7,160.1,0,9
temperature,5273.0,27.758922814337193,1.8697061169825355,21.5,26.0,28.1,29.3,32.6,0,10
rainfall,5273.0,3.2090650483595677,9.65524779952916,0.0,0.0,0.2,2.1,321.8,0,10
wind_speed,5273.0,20.85924521145458,6.242830361085256,6.6,16.3,20.2,25.0,41.8,0,10
